id,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,beta_0,beta_1,beta_2,beta_3,beta_4
0,-0.584668934345,0.580850303173,1.220937132835,-1.138516545296,2.048305988312,1.570829629898,0.891413331032,1.570960879326,0.291351169348,1.701949954033
1,-0.620254933834,0.613901495934,4.443100452423,-4.464597225189,4.245199680328,4.721565723419,7.138802051544,4.736021995544,3.477084875107,4.872675895691
2,-0.703150868416,0.699957489967,-0.331477820873,1.423227310181,-1.403504729271,1.564209818840,-0.732558012009,-0.237873613834,1.552854299545,-0.303271949291
3,-0.602100670338,0.589011371136,-1.041497111320,1.096968889236,0.506848037243,1.579206585884,2.496297597885,1.557553529739,0.285105407238,0.113644346595
4,-0.532095491886,0.570455312729,0.240087479353,1.120065927505,-1.071101784706,1.564070940018,0.698154687881,0.257408618927,1.539695620537,-1.255170583725
5,0.473311722279,-0.460437446833,-0.999143540859,1.876231908798,1.120658874512,1.560986280441,5.494961738586,3.011071681976,0.179861992598,0.099896080792
6,-0.627991914749,0.625923991203,1.351003885269,-1.297265410423,-4.067700862885,1.571903228760,0.955426633358,1.579492449760,0.356352180243,-1.707911252975
7,0.589344739914,-0.545282065868,0.471196770668,1.316314101219,1.198288440704,1.559438347816,2.304729938507,0.248070865870,0.164809748530,0.179788962007
8,-0.550175547600,0.527443706989,-4.396981716156,-1.358951807022,-5.600156307220,1.586376190186,3.906832695007,-3.400906562805,1.560164570808,-4.475428104401
9,0.619538307190,-0.613403320312,1.113855361938,-1.208871006966,-8.688142776489,-1.568688273430,3.863870859146,1.559670329094,-0.304861932993,-2.956739425659
10,-0.551963686943,0.567872643471,-2.334496259689,2.772435188293,1.052093148232,1.567354321480,2.351203918457,-1.530702352524,3.435865163803,-6.092951774597
11,-0.638909280300,0.640742063522,-1.275077819824,1.300422906876,1.757252573967,1.579312205315,2.485117912292,1.571843624115,0.370409309864,0.083946168423
12,-0.461693912745,0.485900074244,1.829274296761,0.907927453518,-1.004259228706,1.569629073143,0.775425553322,1.082889795303,1.571953296661,-0.484791070223
13,0.458196997643,-0.334726482630,0.305032193661,0.657421052456,1.150146722794,1.550310254097,2.151407718658,0.364982187748,0.168866395950,0.126516774297
14,0.633999109268,-0.611648082733,-0.089629553258,-1.254348158836,1.191754937172,1.574964404106,-2.149267196655,1.182439923286,1.564819931984,1.267727017403
15,-0.851439654827,0.845249593258,1.628365516663,-1.694528222084,1.624924898148,1.560158848763,2.328965902328,1.578512549400,-0.380997091532,3.300332307816
16,-0.878867447376,0.872350871563,-1.614434480667,1.568892002106,-0.729078292847,1.576495409012,-0.707233428955,1.597766399384,0.449034035206,-0.178103521466
17,0.476556688547,-0.449097514153,0.339464217424,-0.942392706871,0.952404975891,1.558915376663,0.805170595646,0.422387421131,1.568123579025,0.421038389206
18,-0.545890331268,0.567756772041,0.999150276184,-1.206101298332,-8.485273361206,-1.562428116798,-4.092785358429,1.574650406837,2.838431358337,-3.312273979187
19,-0.717385768890,0.706513166428,-1.329952478409,1.411395788193,3.360200643539,1.567136764526,2.508945941925,1.514220356941,0.341232538223,0.191094011068
20,-0.537354171276,0.521415650845,2.007957935333,-7.522401809692,1.427708983421,1.567781686783,0.829059183598,1.634141206741,1.387269258499,-0.156796500087
21,-0.586289286613,0.570422470570,1.209705114365,-1.131976962090,-1.041195511818,1.577405095100,0.951784133911,1.558219313622,0.370675861835,1.433286428452
22,0.671667337418,-0.680861592293,-1.467458486557,1.547042727470,-3.141028404236,1.574254274368,0.858461022377,1.558961629868,1.876605868340,-1.425951838493
23,-0.746282815933,0.732602000237,-1.278905272484,1.383131384850,0.768923699856,1.572354555130,2.554985284805,1.556562304497,0.303741008043,0.106828831136
24,-0.446563124657,0.536970794201,0.298156678677,-0.991832733154,0.995601177216,1.559649109840,0.721517324448,1.896071076393,1.612021327019,0.342211902142
25,-0.517325520515,0.530797779560,-0.165245756507,0.687336862087,1.924688935280,1.595102906227,-0.580434143543,1.267456769943,3.347275257111,-2.950862884521
26,-0.596092879772,0.597910523415,-0.512158274651,-3.866994380951,0.950144946575,1.575922846794,2.423506259918,-0.220579937100,1.361333489418,-0.148595198989
27,-0.210500136018,-0.588361799717,0.177318707108,-1.136907458305,-3.702365636826,2.833603143692,-1.193377137184,2.169763088226,0.125241979957,-1.723366379738
28,0.506671845913,-0.517587900162,-0.326409012079,-1.103625655174,0.876900970936,1.577677845955,0.779494464397,1.210898041725,1.549059510231,1.251105308533
29,-0.598907530308,0.601888895035,-3.820368766785,1.244350194931,-1.168340086937,1.571998596191,2.357313394547,1.317420363426,-1.565217614174,1.323195219040
